Topic	Document	Sequence	Cosine_value	Relevance
352	FT911-241	1	0.8483104188717457	1
352	FT911-3645	2	0.8435144837817307	1
352	FT911-4059	3	0.8055873264266237	1
352	FT911-4561	4	0.7769274000383048	1
352	FT911-3050	5	0.7671999360611679	1
352	FT911-802	6	0.7668184477939775	1
352	FT911-2699	7	0.7667986357993382	1
352	FT911-3438	8	0.7667986357993382	1
352	FT911-371	9	0.7662828667428989	1
352	FT911-4814	10	0.7658684276288716	1
352	FT911-3947	11	0.7658684276288716	1
352	FT911-1436	12	0.7658684276288716	1
352	FT911-5249	13	0.7657299050320969	1
352	FT911-5221	14	0.7645961397582397	1
352	FT911-46	15	0.7645961397582397	1
352	FT911-2650	16	0.7637901469672737	1
352	FT911-341	17	0.7637901469672737	1
352	FT911-3168	18	0.7627429739585904	1
352	FT911-2843	19	0.7625096815488135	1
352	FT911-91	20	0.7622385860589919	1
352	FT911-3432	21	0.7622385860589919	1
352	FT911-4519	22	0.7582969196318761	1
352	FT911-5180	23	0.757060161130618	1
352	FT911-1575	24	0.757060161130618	1
352	FT911-1353	25	0.757060161130618	1
352	FT911-3169	26	0.7557055028571291	1
352	FT911-902	27	0.7523933381735131	1
352	FT911-1845	28	0.7523933381735131	1
352	FT911-2657	29	0.7523933381735131	1
352	FT911-1223	30	0.7523933381735131	1
352	FT911-910	31	0.7520303520758341	1
352	FT911-3503	32	0.7520303520758341	1
352	FT911-1681	33	0.744911616261878	1
352	FT911-438	34	0.744911616261878	1
352	FT911-3449	35	0.744911616261878	1
352	FT911-1210	36	0.744911616261878	1
352	FT911-1297	37	0.7434677514341672	1
352	FT911-2649	38	0.7425127965758647	1
352	FT911-4018	39	0.7391572649077507	1
352	FT911-4840	40	0.7391572649077507	1
352	FT911-2132	41	0.7391572649077507	1
352	FT911-3437	42	0.7374845800224896	1
352	FT911-1492	43	0.7358041608365822	1
352	FT911-1496	44	0.734036957921808	1
352	FT911-5179	45	0.7288738822325598	1
352	FT911-1488	46	0.7280442075912406	1
352	FT911-56	47	0.7280442075912406	1
352	FT911-4095	48	0.7280442075912406	1
352	FT911-1078	49	0.7280442075912406	1
352	FT911-328	50	0.7275052715018574	1
352	FT911-3407	51	0.7273953503519287	1
352	FT911-351	52	0.7240208082861237	1
352	FT911-55	53	0.7240208082861237	1
352	FT911-530	54	0.7208748612139145	1
352	FT911-4317	55	0.7185155423042222	1
352	FT911-133	56	0.7185155423042222	1
352	FT911-775	57	0.7173717726941273	1
352	FT911-1651	58	0.715236437639976	1
352	FT911-4649	59	0.715236437639976	1
352	FT911-2803	60	0.715236437639976	1
352	FT911-4043	61	0.715236437639976	1
352	FT911-417	62	0.715236437639976	1
352	FT911-1478	63	0.713939620848997	1
352	FT911-1880	64	0.713939620848997	1
352	FT911-450	65	0.7110234361573012	1
352	FT911-4119	66	0.7098954611020405	1
352	FT911-2279	67	0.6996482923495209	1
352	FT911-3165	68	0.6991271750536261	1
352	FT911-3370	69	0.696435135370422	1
352	FT911-131	70	0.6963880610696394	1
352	FT911-3360	71	0.6594889821344848	1
352	FT911-1474	72	0.6569246670780232	1
352	FT911-1344	73	0.6569246670780232	1
352	FT911-4786	74	0.64868076439919	1
352	FT911-4380	75	0.6324212453511592	1
352	FT911-1486	76	0.6324212453511592	1
352	FT911-2292	77	0.6324212453511592	1
352	FT911-1885	78	0.6324212453511592	1
352	FT911-4841	79	0.6324212453511592	1
352	FT911-2711	80	0.6324212453511592	1
352	FT911-2981	81	0.6324212453511592	1
352	FT911-2785	82	0.6324212453511592	1
352	FT911-4016	83	0.6324212453511592	1
352	FT911-4735	84	0.6324212453511592	1
352	FT911-400	85	0.6324212453511592	1
352	FT911-5053	86	0.6324212453511592	1
352	FT911-4889	87	0.6324212453511592	1
352	FT911-4636	88	0.6323599410762427	1
352	FT911-3635	89	0.6323599410762427	1
352	FT911-4887	90	0.6323414179690104	1
352	FT911-1491	91	0.6323414179690104	1
352	FT911-3409	92	0.6321503280310101	1
352	FT911-3108	93	0.6320375284024629	1
352	FT911-2446	94	0.6320375284024629	1
352	FT911-4219	95	0.6320375284024629	1
352	FT911-3443	96	0.6320375284024629	1
352	FT911-5098	97	0.6319838413775108	1
352	FT911-4799	98	0.6319838413775108	1
352	FT911-4293	99	0.6319838413775108	1
352	FT911-3785	100	0.6319838413775108	1
352	FT911-3259	101	0.6319838413775108	1
352	FT911-4518	102	0.6319838413775108	1
352	FT911-2835	103	0.6319838413775108	1
352	FT911-3215	104	0.6319838413775108	1
352	FT911-2693	105	0.6319838413775108	1
352	FT911-4066	106	0.6319838413775108	1
352	FT911-4120	107	0.6319121966108681	1
352	FT911-4641	108	0.6314663877269444	1
352	FT911-2756	109	0.6314663877269444	1
352	FT911-2644	110	0.630913625801763	1
352	FT911-1964	111	0.6308672148318141	1
352	FT911-3638	112	0.6306883112372323	1
352	FT911-3726	113	0.6306883112372323	1
352	FT911-3312	114	0.6306883112372323	1
352	FT911-2032	115	0.6306883112372323	1
352	FT911-5332	116	0.6306883112372323	1
352	FT911-2131	117	0.6306883112372323	1
352	FT911-4801	118	0.6302583679856526	1
352	FT911-4103	119	0.6292658154918565	1
352	FT911-1370	120	0.6292658154918565	1
352	FT911-4017	121	0.6276335940259732	1
352	FT911-3115	122	0.6268167728588517	1
352	FT911-3366	123	0.6268167728588517	1
352	FT911-2784	124	0.6268167728588517	1
352	FT911-4179	125	0.6268167728588517	1
352	FT911-399	126	0.6267341382123456	1
352	FT911-1174	127	0.6267341382123456	1
352	FT911-4074	128	0.6267341382123456	1
352	FT911-4947	129	0.6267341382123456	1
352	FT911-804	130	0.6267341382123456	1
352	FT911-3393	131	0.6267341382123456	1
352	FT911-194	132	0.6267341382123456	1
352	FT911-338	133	0.6267341382123456	1
352	FT911-1857	134	0.6267341382123456	1
352	FT911-1462	135	0.6258531261909772	1
352	FT911-4741	136	0.6258531261909772	1
352	FT911-3641	137	0.6258531261909772	1
352	FT911-1595	138	0.6258531261909772	1
352	FT911-482	139	0.6251940365324036	1
352	FT911-1318	140	0.6245270544958632	1
