Topic	Document	Sequence	Cosine_value	Relevance
352	FT911-241	1	0.7152323855282904	1
352	FT911-5249	2	0.6464553735734249	1
352	FT911-4020	3	0.6424321092515933	1
352	FT911-1492	4	0.6408677958838441	1
352	FT911-370	5	0.623753202677806	1
352	FT911-3409	6	0.620922585418947	1
352	FT911-4519	7	0.6208445920405894	1
352	FT911-4017	8	0.6183142705288284	1
352	FT911-3168	9	0.6145131576759981	1
352	FT911-1699	10	0.6090264923898674	1
352	FT911-802	11	0.6076786164678822	1
352	FT911-1575	12	0.6066645053198657	1
352	FT911-1297	13	0.6029668311469242	1
352	FT911-4561	14	0.5981898949573328	1
352	FT911-4018	15	0.5942999287345451	1
352	FT911-2132	16	0.5935066721348627	1
352	FT911-4518	17	0.5918284253775398	1
352	FT911-775	18	0.590723938194194	1
352	FT911-1344	19	0.5895683050074142	1
352	FT911-2605	20	0.5828958094147068	1
352	FT911-4643	21	0.5818074829619175	1
352	FT911-4095	22	0.5809701996827037	1
352	FT911-5237	23	0.5803270123637334	1
352	FT911-4059	24	0.5770799011350607	1
352	FT911-5180	25	0.5769843829256855	1
352	FT911-1880	26	0.575809314442007	1
352	FT911-1496	27	0.5714098830098266	1
352	FT911-2843	28	0.5712764360927333	1
352	FT911-2822	29	0.566457177288053	1
352	FT911-2892	30	0.5649789212997816	1
352	FT911-3020	31	0.5625217104690592	1
352	FT911-4043	32	0.5624841531979115	1
352	FT911-4219	33	0.5598621887997113	1
352	FT911-3433	34	0.5582039975228639	1
352	FT911-2118	35	0.5579136576085006	1
352	FT911-4890	36	0.5576856065035047	1
352	FT911-2368	37	0.5576752163014377	1
352	FT911-2016	38	0.5562658342304937	1
352	FT911-2834	39	0.5561256900902425	1
352	FT911-610	40	0.5551704477205776	1
352	FT911-341	41	0.5548921093678647	1
352	FT911-4737	42	0.5547342915055891	1
352	FT911-3050	43	0.5542656743379624	1
352	FT911-2956	44	0.5534490289347452	1
352	FT911-358	45	0.552603307172172	1
352	FT911-4315	46	0.5509735606608003	1
352	FT911-2374	47	0.5506330985475357	1
352	FT911-1975	48	0.5502053040958677	1
352	FT911-1353	49	0.5501014801651402	1
352	FT911-1429	50	0.5487294977833244	1
352	FT911-4184	51	0.5480338722279925	1
352	FT911-4317	52	0.5470717441565768	1
352	FT911-2432	53	0.5464699842700813	1
352	FT911-626	54	0.5453905736125888	1
352	FT911-3108	55	0.5447418721572155	1
352	FT911-4116	56	0.5446686099406479	1
352	FT911-1522	57	0.5442163252930061	1
352	FT911-2020	58	0.5441644970328688	1
352	FT911-3793	59	0.5435104290101781	1
352	FT911-2458	60	0.5415385540392126	1
352	FT911-2792	61	0.5410692078188333	1
352	FT911-1974	62	0.5401692107120013	1
352	FT911-3645	63	0.5398070754346104	1
352	FT911-3449	64	0.5393748667301557	1
352	FT911-521	65	0.5391830287041324	1
352	FT911-284	66	0.5391327395204628	1
352	FT911-3438	67	0.5387237058678342	1
352	FT911-504	68	0.5383495012590495	1
352	FT911-3412	69	0.537882076195454	1
352	FT911-1253	70	0.5372343977738464	1
352	FT911-3166	71	0.534397227929657	1
352	FT911-3345	72	0.5339878037844012	1
352	FT911-3261	73	0.5339878037844012	1
352	FT911-188	74	0.5334262238169165	1
352	FT911-787	75	0.5326650253821312	1
352	FT911-379	76	0.5319916627982169	1
352	FT911-2446	77	0.5319904659852536	1
352	FT911-4753	78	0.5319129406816725	1
352	FT911-1306	79	0.5310917153854158	1
352	FT911-1200	80	0.5305526752781693	1
352	FT911-1964	81	0.529765330634791	1
352	FT911-2697	82	0.5296554360399224	1
352	FT911-4176	83	0.528692645509645	1
352	FT911-285	84	0.5286498592588667	1
352	FT911-2380	85	0.5286498592588667	1
352	FT911-4213	86	0.5285812828339074	1
352	FT911-4514	87	0.5283787335080159	1
352	FT911-5265	88	0.528175533140925	1
352	FT911-3410	89	0.5277862999712257	1
352	FT911-4623	90	0.5277672683069285	1
352	FT911-401	91	0.526727193091625	1
352	FT911-3442	92	0.5266440416103827	1
352	FT911-2650	93	0.5263369771958905	1
352	FT911-4655	94	0.5242219234468626	1
352	FT911-450	95	0.5237392240946185	1
352	FT911-5293	96	0.5235762541729563	1
352	FT911-1280	97	0.5201801084744827	1
352	FT911-55	98	0.5185875416856784	1
352	FT911-2117	99	0.517815235364289	1
352	FT911-463	100	0.5174427184478696	1
352	FT911-1951	101	0.5168297460527158	1
352	FT911-2649	102	0.5163301493969038	1
352	FT911-4585	103	0.5156040076705162	1
352	FT911-264	104	0.5143139748047273	1
352	FT911-3445	105	0.5142496134768542	1
352	FT911-808	106	0.5140445035602239	1
352	FT911-5177	107	0.5140087057315297	1
352	FT911-3638	108	0.5132388031940569	1
352	FT911-2657	109	0.5129315273045344	1
352	FT911-1500	110	0.5128239230266918	1
352	FT911-1478	111	0.5123965952101553	1
352	FT911-2644	112	0.5119263835221243	1
352	FT911-4790	113	0.511884584555885	1
352	FT911-482	114	0.5118227861072324	1
352	FT911-2455	115	0.5116594081092818	1
352	FT911-1199	116	0.5114820580211032	1
352	FT911-1961	117	0.5113853453950314	1
352	FT911-21	118	0.5110940485975537	1
352	FT911-4649	119	0.5101197270097713	1
352	FT911-520	120	0.5101092743173619	1
352	FT911-616	121	0.5099523370563768	1
352	FT911-3443	122	0.5099446852835829	1
352	FT911-5341	123	0.5098215711162303	1
352	FT911-5264	124	0.5096754647919643	1
352	FT911-2506	125	0.5091473276564285	1
352	FT911-5236	126	0.5090937267682327	1
352	FT911-1773	127	0.5086659844848215	1
352	FT911-4852	128	0.507984826490202	1
352	FT911-3407	129	0.5079681123147426	1
352	FT911-1502	130	0.5074875947903821	1
352	FT911-1223	131	0.5072381592799612	1
352	FT911-3446	132	0.5066094861387076	1
352	FT911-2539	133	0.5065472850756403	1
352	FT911-628	134	0.5064554660624396	1
352	FT911-2711	135	0.5063863990745139	1
352	FT911-3109	136	0.5060451021786494	1
352	FT911-1304	137	0.5055769614683049	1
352	FT911-3790	138	0.5053103908555493	1
352	FT911-2032	139	0.5043489805579252	1
352	FT911-4645	140	0.5027592274038479	1
352	FT911-1436	141	0.5027112002257695	1
352	FT911-4216	142	0.5018286259421606	1
352	FT911-4797	143	0.501496470960535	1
352	FT911-4351	144	0.5014037377289073	1
