Topic	Document	Sequence	Cosine_value	Relevance
352	FT911-241	1	0.6888463162321534	1
352	FT911-1699	2	0.6807303880273001	1
352	FT911-3409	3	0.6611844885156782	1
352	FT911-4095	4	0.6492588746621576	1
352	FT911-4561	5	0.6483307596633971	1
352	FT911-3793	6	0.632832584819161	1
352	FT911-4017	7	0.632403048578402	1
352	FT911-5249	8	0.6304146920070419	1
352	FT911-3020	9	0.6286289395291006	1
352	FT911-1344	10	0.6285523050161241	1
352	FT911-2605	11	0.6276049071506701	1
352	FT911-3433	12	0.6237716840588664	1
352	FT911-4890	13	0.6232674340117945	1
352	FT911-4518	14	0.6228851157261612	1
352	FT911-3050	15	0.6197178530604083	1
352	FT911-2956	16	0.618540171217247	1
352	FT911-4643	17	0.6159738779716564	1
352	FT911-2374	18	0.6155725111882997	1
352	FT911-4519	19	0.6113998849814675	1
352	FT911-3168	20	0.6096864231552345	1
352	FT911-2843	21	0.6074754869252176	1
352	FT911-4059	22	0.6074600793591817	1
352	FT911-521	23	0.6029397791400085	1
352	FT911-802	24	0.6012785384994196	1
352	FT911-3345	25	0.5968213427885246	1
352	FT911-3261	26	0.5968213427885246	1
352	FT911-787	27	0.5956517860612459	1
352	FT911-4753	28	0.5951013133837284	1
352	FT911-1200	29	0.5930233714669368	1
352	FT911-4043	30	0.5927604006412873	1
352	FT911-2697	31	0.5922984900757302	1
352	FT911-4176	32	0.5907860219776583	1
352	FT911-4514	33	0.5906049537598455	1
352	FT911-401	34	0.5889642790059906	1
352	FT911-2118	35	0.5828733986458066	1
352	FT911-358	36	0.5794522665352022	1
352	FT911-1575	37	0.5788891769878245	1
352	FT911-1951	38	0.5776263788831437	1
352	FT911-4585	39	0.576318766436164	1
352	FT911-3645	40	0.5752534574169451	1
352	FT911-626	41	0.5736027124177931	1
352	FT911-3449	42	0.572311443269953	1
352	FT911-4790	43	0.5719853784332618	1
352	FT911-1199	44	0.5719699018097306	1
352	FT911-21	45	0.5714008859731361	1
352	FT911-5264	46	0.5695304400959947	1
352	FT911-5236	47	0.5691724457395552	1
352	FT911-1492	48	0.5686847761578694	1
352	FT911-1773	49	0.5686351636070912	1
352	FT911-4020	50	0.5679992415642745	1
352	FT911-5177	51	0.5675927955618281	1
352	FT911-628	52	0.5662247520041215	1
352	FT911-2711	53	0.5661723825119964	1
352	FT911-2539	54	0.566030584298145	1
352	FT911-370	55	0.5660074116953644	1
352	FT911-1964	56	0.5641041045517626	1
352	FT911-3438	57	0.560804204377476	1
352	FT911-4458	58	0.5598520042556308	1
352	FT911-504	59	0.5598269530275888	1
352	FT911-188	60	0.5583484260823801	1
352	FT911-2457	61	0.5575079093441495	1
352	FT911-3166	62	0.55741784414139	1
352	FT911-55	63	0.5529468935695254	1
352	FT911-1306	64	0.5521160332032046	1
352	FT911-2948	65	0.5520759966311185	1
352	FT911-1367	66	0.5519541278337325	1
352	FT911-3410	67	0.5515602451989241	1
352	FT911-4784	68	0.551202272203384	1
352	FT911-4656	69	0.5502539310447394	1
352	FT911-4018	70	0.5489186205579689	1
352	FT911-3790	71	0.5472787955297179	1
352	FT911-4798	72	0.54680597738737	1
352	FT911-2892	73	0.5468050662385933	1
352	FT911-4271	74	0.5463260156566995	1
352	FT911-1766	75	0.5462642076805733	1
352	FT911-3109	76	0.5455902452870921	1
352	FT911-4791	77	0.5452157538275895	1
352	FT911-2445	78	0.5447284900944144	1
352	FT911-2650	79	0.5443876364891387	1
352	FT911-4516	80	0.5443697370381066	1
352	FT911-2040	81	0.5427067140217642	1
352	FT911-4019	82	0.5411565562304179	1
352	FT911-3769	83	0.5409900925840478	1
352	FT911-1002	84	0.5402498947534182	1
352	FT911-1522	85	0.538719196116752	1
352	FT911-4894	86	0.5385619774092444	1
352	FT911-4479	87	0.5377654157068527	1
352	FT911-2454	88	0.5377198365016705	1
352	FT911-616	89	0.537486970055943	1
352	FT911-4389	90	0.5369670261961685	1
352	FT911-1280	91	0.5368932661539396	1
352	FT911-2117	92	0.5352412099143643	1
352	FT911-1958	93	0.5351862392769654	1
352	FT911-1388	94	0.5351530551048793	1
352	FT911-4531	95	0.5345816505920564	1
352	FT911-2657	96	0.5344930089679293	1
352	FT911-4168	97	0.5344725702588816	1
352	FT911-4786	98	0.5341436694742198	1
